CONDUIT & FITTINGS,CONDUIT & FITTINGS,,,,,,,,
EMT CONDUIT IN FLOOR SLAB OR MULTIPLE RUNS ON A TRAPEZE,EMT CONDUIT IN FLOOR SLAB OR MULTIPLE RUNS ON A TRAPEZE,,,,,,,,
INDENTER TOOLS,"With jaws for 1/2"" EMT",25.6,,,,,Ea,,
INDENTER TOOLS,"With jaws for 3/4"" EMT",35.6,,,,,Ea,,
INDENTER TOOLS,"Replacement points, 1/2"" EMT",1.93,,,,,Ea,,
INDENTER TOOLS,"Replacement points, 3/4"" EMT",2,,,,,Ea,,
SET SCREW STEEL EMT COUPLINGS,SET SCREW STEEL EMT COUPLINGS,,,,,,,,
SET SCREW STEEL EMT COUPLINGS,"1/2""",0.18,2.05,,0.05,,Ea,L1: [$41.03] - (1 electrician),L1
SET SCREW STEEL EMT COUPLINGS,"3/4""",0.22,2.46,,0.06,,Ea,L1: [$41.03] - (1 electrician),L1
SET SCREW STEEL EMT COUPLINGS,"1""",0.34,3.28,,0.08,,Ea,L1: [$41.03] - (1 electrician),L1
SET SCREW STEEL EMT COUPLINGS,"1-1/4""",0.7,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
SET SCREW STEEL EMT COUPLINGS,"1-1/2""",1.05,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
SET SCREW STEEL EMT COUPLINGS,"2""",1.38,6.15,,0.15,,Ea,L1: [$41.03] - (1 electrician),L1
SET SCREW STEEL EMT COUPLINGS,"2-1/2""",3.01,6.15,,0.15,,Ea,L1: [$41.03] - (1 electrician),L1
SET SCREW STEEL EMT COUPLINGS,"3""",3.36,8.21,,0.2,,Ea,L1: [$41.03] - (1 electrician),L1
SET SCREW STEEL EMT COUPLINGS,"3-1/2""",4.12,8.21,,0.2,,Ea,L1: [$41.03] - (1 electrician),L1
SET SCREW STEEL EMT COUPLINGS,"4""",4.5,10.3,,0.25,,Ea,L1: [$41.03] - (1 electrician),L1
"DIE CAST COMPRESSION EMT COUPLINGS, RAINTIGHT","DIE CAST COMPRESSION EMT COUPLINGS, RAINTIGHT",,,,,,,,
"DIE CAST COMPRESSION EMT COUPLINGS, RAINTIGHT","1/2""",0.26,2.05,,0.05,,Ea,L1: [$41.03] - (1 electrician),L1
"DIE CAST COMPRESSION EMT COUPLINGS, RAINTIGHT","3/4""",0.33,2.46,,0.06,,Ea,L1: [$41.03] - (1 electrician),L1
"DIE CAST COMPRESSION EMT COUPLINGS, RAINTIGHT","1""",0.54,3.28,,0.08,,Ea,L1: [$41.03] - (1 electrician),L1
"DIE CAST COMPRESSION EMT COUPLINGS, RAINTIGHT","1-1/4""",0.98,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
"DIE CAST COMPRESSION EMT COUPLINGS, RAINTIGHT","1-1/2""",1.52,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
